run_timestamp_utc,run_label,ranked_count,bna_winner_count,low_signal_bna_count,bna_explicit_marker_count,bna_ai_inferred_count,bna_manual_or_unknown_count,score_bands_json,scoring_sources_json,signal_distribution_json,bna_signal_distribution_json,bna_provenance_mix_json,bna_provenance_json,bna_titles_json,authority_impact,mutations,mode
2026-05-29T11:05:32+00:00,execution_engine_v2,129,5,0,,,,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 3}","{""baseline_fallback"": 34, ""evaluator"": 95}","{""baseline_executable"": 34, ""high_priority"": 3, ""high_urgency"": 4, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 3, ""high_urgency"": 4, ""medium_effort"": 1, ""medium_urgency"": 1, ""quick_win"": 1, ""strategic_context"": 1}",,,"[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Order a new band for my Apple Watch"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard""]",none,0,read_only_analytics_ledger
2026-05-29T11:14:14+00:00,execution_engine_v2,128,5,0,2,0,3,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[{""ai_log_matches"": 2, ""category"": ""explicit_marker"", ""priority"": {""confidence"": 1.0, ""current"": ""High Priority"", ""provenance"": ""ai_log_metadata"", ""source"": ""explicit_marker"", ""value"": ""High Importance""}, ""rank"": 1, ""title"": ""Send comments on wills to the lawyer"", ""urgency"": {""confidence"": 1.0, ""current"": ""High Urgency"", ""provenance"": ""explicit_marker_from_original"", ""source"": ""explicit_marker""}}, {""ai_log_matches"": 2, ""category"": ""explicit_marker"", ""priority"": {""confidence"": 1.0, ""current"": ""High Priority"", ""provenance"": ""ai_log_metadata"", ""source"": ""explicit_marker"", ""value"": ""High Importance""}, ""rank"": 2, ""title"": ""Find cohabitation agreement"", ""urgency"": {""confidence"": 1.0, ""current"": ""High Urgency"", ""provenance"": ""explicit_marker_from_original"", ""source"": ""explicit_marker""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 3, ""title"": ""Submit University of Windsor pension forms"", ""urgency"": {""current"": ""High Urgency"", ""provenance"": ""manual_or_unknown""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 4, ""title"": ""Review recurring charges on Mastercard"", ""urgency"": {""current"": ""Medium Urgency"", ""provenance"": ""manual_or_unknown""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 5, ""title"": ""Plan another test bake of focaccia for Almanac recipe development"", ""urgency"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}}]","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
2026-05-29T11:15:20+00:00,execution_engine_v2,128,5,0,2,0,3,"{""high_11_25"": 4, ""low_1_3"": 82, ""medium_4_10"": 40, ""very_high_26_plus"": 2}","{""baseline_fallback"": 34, ""evaluator"": 94}","{""baseline_executable"": 34, ""high_priority"": 2, ""high_urgency"": 3, ""large_effort"": 1, ""medium_effort"": 22, ""medium_urgency"": 1, ""operational_context"": 22, ""planning_work"": 5, ""preparation_work"": 2, ""quick_win"": 44, ""strategic_context"": 19}","{""high_priority"": 2, ""high_urgency"": 3, ""medium_effort"": 1, ""medium_urgency"": 1, ""operational_context"": 1, ""planning_work"": 1, ""quick_win"": 1, ""strategic_context"": 2}","{""explicit_marker"": 2, ""manual_or_unknown"": 3}","[{""ai_log_matches"": 2, ""category"": ""explicit_marker"", ""priority"": {""confidence"": 1.0, ""current"": ""High Priority"", ""provenance"": ""ai_log_metadata"", ""source"": ""explicit_marker"", ""value"": ""High Importance""}, ""rank"": 1, ""title"": ""Send comments on wills to the lawyer"", ""urgency"": {""confidence"": 1.0, ""current"": ""High Urgency"", ""provenance"": ""explicit_marker_from_original"", ""source"": ""explicit_marker""}}, {""ai_log_matches"": 2, ""category"": ""explicit_marker"", ""priority"": {""confidence"": 1.0, ""current"": ""High Priority"", ""provenance"": ""ai_log_metadata"", ""source"": ""explicit_marker"", ""value"": ""High Importance""}, ""rank"": 2, ""title"": ""Find cohabitation agreement"", ""urgency"": {""confidence"": 1.0, ""current"": ""High Urgency"", ""provenance"": ""explicit_marker_from_original"", ""source"": ""explicit_marker""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 3, ""title"": ""Submit University of Windsor pension forms"", ""urgency"": {""current"": ""High Urgency"", ""provenance"": ""manual_or_unknown""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 4, ""title"": ""Review recurring charges on Mastercard"", ""urgency"": {""current"": ""Medium Urgency"", ""provenance"": ""manual_or_unknown""}}, {""ai_log_matches"": 0, ""category"": ""manual_or_unknown"", ""priority"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}, ""rank"": 5, ""title"": ""Plan another test bake of focaccia for Almanac recipe development"", ""urgency"": {""current"": ""unset"", ""provenance"": ""manual_or_unknown""}}]","[""Send comments on wills to the lawyer"", ""Find cohabitation agreement"", ""Submit University of Windsor pension forms"", ""Review recurring charges on Mastercard"", ""Plan another test bake of focaccia for Almanac recipe development""]",none,0,read_only_analytics_ledger
